"","resRA","rrr","Vmag","SAO"
"7180",18.90663889,71.29722222,4.82,9283
"7181",18.99597222,26.23055556,5.27,86673
"7182",19.02716667,-22.69555556,6.24,187584
"7183",18.99947222,22.81472222,6.29,86675
"7184",18.95788889,58.22527778,6.46,31292
"7185",18.98675,39.21777778,6.41,67675
"7186",19.02597222,-15.2825,6.32,162097
"7187",18.94044444,65.25805556,5.63,18079
"7188",19.05191667,-42.09527778,4.75,229461
"7189",NA,NA,NA,NA
"7190",19.06594444,-51.01861111,5.93,245899
"7191",18.95483333,62.39666667,6.45,18082
"7192",19.00025,32.14555556,4.93,67682
"7193",19.028,-5.738888889,4.02,142931
"7194",19.04352778,-29.88027778,2.6,187600
"7195",19.04102778,-24.84694444,5.65,187599
"7196",18.98322222,50.80944444,6.3,31304
"7197",19.05491667,-38.25333333,5.74,210859
"7198",19.01819444,19.30972222,6.39,104362
"7199",18.89255556,75.7875,6.22,9286
"7200",19.02294444,20.83361111,6.69,86704
"7201",19.00527778,40.68416667,6.65,47993
"7202",19.0215,26.29138889,5.69,86707
"7203",19.05105556,-19.24527778,6.05,162130
"7204",19.01533333,33.80222222,6.01,67699
"7205",19.05194444,-19.10333333,6.37,162133
"7206",19.02636111,25.02583333,6.72,86714
"7207",19.03041667,22.26388889,6.4,86716
"7208",19.03933333,8.374166667,6.3,124184
"7209",19.04847222,-3.698888889,5.42,142959
"7210",19.00380556,50.53361111,5.38,31311
"7211",19.07363889,-31.04694444,5.5,210883
"7212",19.03008333,33.62138889,6.39,67721
"7213",19.10552778,-52.34083333,5.16,245921
"7214",19.05894444,1.818888889,5.83,124203
"7215",19.024,46.93472222,5.01,48011
"7216",19.04794444,19.66111111,6.09,104405
"7217",19.07805556,-21.74166667,3.77,187643
"7218",19.01205556,55.65833333,5.48,31323
"7219",19.06963889,3.330555556,6.73,124219
"7220",19.07338889,-5.685,6.9,142985
"7221",19.16463889,-68.42472222,5.33,254475
"7222",19.06180556,21.26777778,6.52,86753
"7223",19.11544444,-48.29916667,5.97,229493
"7224",18.98127778,69.53111111,6.52,18103
"7225",19.08266667,-4.031388889,5.42,142996
"7226",19.10697222,-37.06333333,4.93,210928
"7227",19.10697222,-37.06333333,4.99,210928
"7228",21.14616667,-88.95638889,5.47,258857
"7229",19.03527778,52.26111111,6.31,31337
"7230",19.09477778,-15.66027778,5.97,162177
"7231",19.0885,-1.512777778,6.53,143003
"7232",19.11458333,-37.81027778,6.16,210937
"7233",19.14780556,-55.72027778,6.49,245937
"7234",19.11566667,-27.67055556,3.32,187683
"7235",19.09016667,13.86333333,2.99,104461
"7236",19.10413889,-4.8825,3.44,143021
"7237",19.08275,31.74444444,5.56,67782
"7238",19.08286111,30.73333333,6.06,67781
"7239",19.11452778,-16.22888889,6.03,162201
"7240",19.12525,-28.63694444,6.04,187701
"7241",19.11902778,-18.73777778,6.29,162204
"7242",19.13913889,-40.49666667,4.59,229513
"7243",19.10616667,8.23,6.09,124266
"7244",19.09641667,29.92166667,6.31,86796
"7245",19.11919444,0.641666667,6.56,124282
"7246",19.13738889,-24.65694444,6.3,187718
"7247",18.96588889,77.05083333,6.54,9296
"7248",19.11627778,11.07138889,5.09,104488
"7249",19.13797222,-19.29,5.54,162229
"7250",19.11066667,24.25083333,5.77,86817
"7251",19.082,53.39666667,5.38,31371
"7252",19.08608333,49.92333333,6.43,48071
"7253",19.11047222,28.62861111,5.55,86819
"7254",19.15786111,-37.90444444,4.11,210990
"7255",19.16102778,-39.82805556,6.46,210994
"7256",19.16011111,-36.16472222,6.56,210996
"7257",19.16605556,-41.8925,5.88,229531
"7258",19.10472222,41.41388889,6.49,48084
"7259",19.16713889,-39.34083333,4.11,211005
"7260",19.13258333,16.85333333,6.07,104511
"7261",19.12377778,32.50166667,5.23,67835
"7262",19.12169444,36.10027778,5.28,67834
"7263",19.13433333,21.69888889,6.23,86843
"7264",19.16272222,-21.02361111,2.89,187756
"7265",19.16336111,-19.80361111,6.13,162260
"7266",19.14997222,6.073333333,5.22,124318
"7267",19.1445,16.85138889,6.48,104524
"7268",19.18383333,-39.005,6.36,211017
"7269",19.16433333,-0.428055556,6.34,143087
"7270",19.18858333,-29.50222222,6.3,187786
"7271",19.21280556,-50.48638889,6.13,245976
"7272",19.15122222,34.60055556,6.74,67879
"7273",19.20272222,-37.58277778,6.57,211037
"7274",19.27458333,-69.19055556,6.27,254508
"7275",19.1405,52.42555556,5.81,31413
"7276",19.20777778,-21.65805556,6.41,187816
"7277",19.22047222,-25.90666667,5.8,187835
"7278",19.28666667,-66.66138889,5.53,254515
"7279",19.21130556,-7.939444444,5.34,143134
"7280",19.19191667,26.73583333,6.36,86912
"7281",19.24436111,-45.19333333,5.92,229573
"7282",19.22097222,-12.2825,5.51,162326
"7283",19.19611111,31.28333333,5.98,67946
